,case_id,functionality,test_case,label_gold,target_ident
0,italian-0,derog_neg_emote_h,Odio i francesi.,hateful,french
1,italian-1,derog_neg_emote_h,Odio i italiani.,hateful,italian
2,italian-2,derog_neg_emote_h,Odio i americani.,hateful,american
3,italian-3,derog_neg_emote_h,Odio i spagnoli.,hateful,spanish
4,italian-4,derog_neg_emote_h,Odio i cinesi.,hateful,chinese
5,italian-5,derog_neg_emote_h,Odio i marocchini.,hateful,moroccan
6,italian-6,derog_neg_emote_h,Odio i tunisini.,hateful,tunisian
7,italian-7,derog_neg_emote_h,Odio i europei.,hateful,european
8,italian-8,derog_neg_emote_h,Odio i africani.,hateful,african
9,italian-9,derog_neg_emote_h,Odio i asiatici.,hateful,asian
10,italian-10,derog_neg_emote_h,Non sopporto proprio i francesi come te.,hateful,french
11,italian-11,derog_neg_emote_h,Non sopporto proprio i italiani come te.,hateful,italian
12,italian-12,derog_neg_emote_h,Non sopporto proprio i americani come te.,hateful,american
13,italian-13,derog_neg_emote_h,Non sopporto proprio i spagnoli come te.,hateful,spanish
14,italian-14,derog_neg_emote_h,Non sopporto proprio i cinesi come te.,hateful,chinese
15,italian-15,derog_neg_emote_h,Non sopporto proprio i marocchini come te.,hateful,moroccan
16,italian-16,derog_neg_emote_h,Non sopporto proprio i tunisini come te.,hateful,tunisian
17,italian-17,derog_neg_emote_h,Non sopporto proprio i europei come te.,hateful,european
18,italian-18,derog_neg_emote_h,Non sopporto proprio i africani come te.,hateful,african
19,italian-19,derog_neg_emote_h,Non sopporto proprio i asiatici come te.,hateful,asian
20,italian-20,derog_neg_emote_h,Disprezzo i francesi.,hateful,french
21,italian-21,derog_neg_emote_h,Disprezzo i italiani.,hateful,italian
22,italian-22,derog_neg_emote_h,Disprezzo i americani.,hateful,american
23,italian-23,derog_neg_emote_h,Disprezzo i spagnoli.,hateful,spanish
24,italian-24,derog_neg_emote_h,Disprezzo i cinesi.,hateful,chinese
25,italian-25,derog_neg_emote_h,Disprezzo i marocchini.,hateful,moroccan
26,italian-26,derog_neg_emote_h,Disprezzo i tunisini.,hateful,tunisian
27,italian-27,derog_neg_emote_h,Disprezzo i europei.,hateful,european
28,italian-28,derog_neg_emote_h,Disprezzo i africani.,hateful,african
29,italian-29,derog_neg_emote_h,Disprezzo i asiatici.,hateful,asian
30,italian-30,derog_neg_emote_h,Disdegno i francesi.,hateful,french
31,italian-31,derog_neg_emote_h,Disdegno i italiani.,hateful,italian
32,italian-32,derog_neg_emote_h,Disdegno i americani.,hateful,american
33,italian-33,derog_neg_emote_h,Disdegno i spagnoli.,hateful,spanish
34,italian-34,derog_neg_emote_h,Disdegno i cinesi.,hateful,chinese
35,italian-35,derog_neg_emote_h,Disdegno i marocchini.,hateful,moroccan
36,italian-36,derog_neg_emote_h,Disdegno i tunisini.,hateful,tunisian
37,italian-37,derog_neg_emote_h,Disdegno i europei.,hateful,european
38,italian-38,derog_neg_emote_h,Disdegno i africani.,hateful,african
39,italian-39,derog_neg_emote_h,Disdegno i asiatici.,hateful,asian
40,italian-40,derog_neg_emote_h,Detesto assolutamente i francesi.,hateful,french
41,italian-41,derog_neg_emote_h,Detesto assolutamente i italiani.,hateful,italian
42,italian-42,derog_neg_emote_h,Detesto assolutamente i americani.,hateful,american
43,italian-43,derog_neg_emote_h,Detesto assolutamente i spagnoli.,hateful,spanish
44,italian-44,derog_neg_emote_h,Detesto assolutamente i cinesi.,hateful,chinese
45,italian-45,derog_neg_emote_h,Detesto assolutamente i marocchini.,hateful,moroccan
46,italian-46,derog_neg_emote_h,Detesto assolutamente i tunisini.,hateful,tunisian
47,italian-47,derog_neg_emote_h,Detesto assolutamente i europei.,hateful,european
48,italian-48,derog_neg_emote_h,Detesto assolutamente i africani.,hateful,african
49,italian-49,derog_neg_emote_h,Detesto assolutamente i asiatici.,hateful,asian
50,italian-50,derog_neg_emote_h,Sono disgustato da tutti i francesi qui intorno.,hateful,french
51,italian-51,derog_neg_emote_h,Sono disgustato da tutti i italiani qui intorno.,hateful,italian
52,italian-52,derog_neg_emote_h,Sono disgustato da tutti i americani qui intorno.,hateful,american
53,italian-53,derog_neg_emote_h,Sono disgustato da tutti i spagnoli qui intorno.,hateful,spanish
54,italian-54,derog_neg_emote_h,Sono disgustato da tutti i cinesi qui intorno.,hateful,chinese
55,italian-55,derog_neg_emote_h,Sono disgustato da tutti i marocchini qui intorno.,hateful,moroccan
56,italian-56,derog_neg_emote_h,Sono disgustato da tutti i tunisini qui intorno.,hateful,tunisian
57,italian-57,derog_neg_emote_h,Sono disgustato da tutti i europei qui intorno.,hateful,european
58,italian-58,derog_neg_emote_h,Sono disgustato da tutti i africani qui intorno.,hateful,african
59,italian-59,derog_neg_emote_h,Sono disgustato da tutti i asiatici qui intorno.,hateful,asian
60,italian-60,derog_neg_emote_h,Ho scarsa considerazione di questi francesi.,hateful,french
61,italian-61,derog_neg_emote_h,Ho scarsa considerazione di questi italiani.,hateful,italian
62,italian-62,derog_neg_emote_h,Ho scarsa considerazione di questi americani.,hateful,american
63,italian-63,derog_neg_emote_h,Ho scarsa considerazione di questi spagnoli.,hateful,spanish
64,italian-64,derog_neg_emote_h,Ho scarsa considerazione di questi cinesi.,hateful,chinese
65,italian-65,derog_neg_emote_h,Ho scarsa considerazione di questi marocchini.,hateful,moroccan
66,italian-66,derog_neg_emote_h,Ho scarsa considerazione di questi tunisini.,hateful,tunisian
67,italian-67,derog_neg_emote_h,Ho scarsa considerazione di questi europei.,hateful,european
68,italian-68,derog_neg_emote_h,Ho scarsa considerazione di questi africani.,hateful,african
69,italian-69,derog_neg_emote_h,Ho scarsa considerazione di questi asiatici.,hateful,asian
70,italian-70,derog_neg_emote_h,Ho tanto astio per voi francesi.,hateful,french
71,italian-71,derog_neg_emote_h,Ho tanto astio per voi italiani.,hateful,italian
72,italian-72,derog_neg_emote_h,Ho tanto astio per voi americani.,hateful,american
73,italian-73,derog_neg_emote_h,Ho tanto astio per voi spagnoli.,hateful,spanish
74,italian-74,derog_neg_emote_h,Ho tanto astio per voi cinesi.,hateful,chinese
75,italian-75,derog_neg_emote_h,Ho tanto astio per voi marocchini.,hateful,moroccan
76,italian-76,derog_neg_emote_h,Ho tanto astio per voi tunisini.,hateful,tunisian
77,italian-77,derog_neg_emote_h,Ho tanto astio per voi europei.,hateful,european
78,italian-78,derog_neg_emote_h,Ho tanto astio per voi africani.,hateful,african
79,italian-79,derog_neg_emote_h,Ho tanto astio per voi asiatici.,hateful,asian
80,italian-80,derog_neg_emote_h,Sono così stufo di stare intorno ai francesi come te.,hateful,french
81,italian-81,derog_neg_emote_h,Sono così stufo di stare intorno ai italiani come te.,hateful,italian
82,italian-82,derog_neg_emote_h,Sono così stufo di stare intorno ai americani come te.,hateful,american
83,italian-83,derog_neg_emote_h,Sono così stufo di stare intorno ai spagnoli come te.,hateful,spanish
84,italian-84,derog_neg_emote_h,Sono così stufo di stare intorno ai cinesi come te.,hateful,chinese
85,italian-85,derog_neg_emote_h,Sono così stufo di stare intorno ai marocchini come te.,hateful,moroccan
86,italian-86,derog_neg_emote_h,Sono così stufo di stare intorno ai tunisini come te.,hateful,tunisian
87,italian-87,derog_neg_emote_h,Sono così stufo di stare intorno ai europei come te.,hateful,european
88,italian-88,derog_neg_emote_h,Sono così stufo di stare intorno ai africani come te.,hateful,african
89,italian-89,derog_neg_emote_h,Sono così stufo di stare intorno ai asiatici come te.,hateful,asian
90,italian-90,derog_neg_emote_h,Non provo altro che sdegno per i francesi.,hateful,french
91,italian-91,derog_neg_emote_h,Non provo altro che sdegno per i italiani.,hateful,italian
92,italian-92,derog_neg_emote_h,Non provo altro che sdegno per i americani.,hateful,american
93,italian-93,derog_neg_emote_h,Non provo altro che sdegno per i spagnoli.,hateful,spanish
94,italian-94,derog_neg_emote_h,Non provo altro che sdegno per i cinesi.,hateful,chinese
95,italian-95,derog_neg_emote_h,Non provo altro che sdegno per i marocchini.,hateful,moroccan
96,italian-96,derog_neg_emote_h,Non provo altro che sdegno per i tunisini.,hateful,tunisian
97,italian-97,derog_neg_emote_h,Non provo altro che sdegno per i europei.,hateful,european
98,italian-98,derog_neg_emote_h,Non provo altro che sdegno per i africani.,hateful,african
99,italian-99,derog_neg_emote_h,Non provo altro che sdegno per i asiatici.,hateful,asian
100,italian-100,derog_neg_emote_h,Questi francesi mi fanno così tanto schifo.,hateful,french
101,italian-101,derog_neg_emote_h,Questi italiani mi fanno così tanto schifo.,hateful,italian
102,italian-102,derog_neg_emote_h,Questi americani mi fanno così tanto schifo.,hateful,american
103,italian-103,derog_neg_emote_h,Questi spagnoli mi fanno così tanto schifo.,hateful,spanish
104,italian-104,derog_neg_emote_h,Questi cinesi mi fanno così tanto schifo.,hateful,chinese
105,italian-105,derog_neg_emote_h,Questi marocchini mi fanno così tanto schifo.,hateful,moroccan
106,italian-106,derog_neg_emote_h,Questi tunisini mi fanno così tanto schifo.,hateful,tunisian
