,case_id,functionality,test_case,label_gold,target_ident
0,portuguese-0,derog_neg_emote_h,Eu odeio franceses.,hateful,french
1,portuguese-1,derog_neg_emote_h,Eu odeio italianos.,hateful,italian
2,portuguese-2,derog_neg_emote_h,Eu odeio americanos.,hateful,american
3,portuguese-3,derog_neg_emote_h,Eu odeio espanhóis.,hateful,spanish
4,portuguese-4,derog_neg_emote_h,Eu odeio chineses.,hateful,chinese
5,portuguese-5,derog_neg_emote_h,Eu odeio marroquinos.,hateful,moroccan
6,portuguese-6,derog_neg_emote_h,Eu odeio tunisianos.,hateful,tunisian
7,portuguese-7,derog_neg_emote_h,Eu odeio europeus.,hateful,european
8,portuguese-8,derog_neg_emote_h,Eu odeio africanos.,hateful,african
9,portuguese-9,derog_neg_emote_h,Eu odeio asiáticos.,hateful,asian
10,portuguese-10,derog_neg_emote_h,Eu realmente não suporto franceses como você.,hateful,french
11,portuguese-11,derog_neg_emote_h,Eu realmente não suporto italianos como você.,hateful,italian
12,portuguese-12,derog_neg_emote_h,Eu realmente não suporto americanos como você.,hateful,american
13,portuguese-13,derog_neg_emote_h,Eu realmente não suporto espanhóis como você.,hateful,spanish
14,portuguese-14,derog_neg_emote_h,Eu realmente não suporto chineses como você.,hateful,chinese
15,portuguese-15,derog_neg_emote_h,Eu realmente não suporto marroquinos como você.,hateful,moroccan
16,portuguese-16,derog_neg_emote_h,Eu realmente não suporto tunisianos como você.,hateful,tunisian
17,portuguese-17,derog_neg_emote_h,Eu realmente não suporto europeus como você.,hateful,european
18,portuguese-18,derog_neg_emote_h,Eu realmente não suporto africanos como você.,hateful,african
19,portuguese-19,derog_neg_emote_h,Eu realmente não suporto asiáticos como você.,hateful,asian
20,portuguese-20,derog_neg_emote_h,Eu desprezo franceses.,hateful,french
21,portuguese-21,derog_neg_emote_h,Eu desprezo italianos.,hateful,italian
22,portuguese-22,derog_neg_emote_h,Eu desprezo americanos.,hateful,american
23,portuguese-23,derog_neg_emote_h,Eu desprezo espanhóis.,hateful,spanish
24,portuguese-24,derog_neg_emote_h,Eu desprezo chineses.,hateful,chinese
25,portuguese-25,derog_neg_emote_h,Eu desprezo marroquinos.,hateful,moroccan
26,portuguese-26,derog_neg_emote_h,Eu desprezo tunisianos.,hateful,tunisian
27,portuguese-27,derog_neg_emote_h,Eu desprezo europeus.,hateful,european
28,portuguese-28,derog_neg_emote_h,Eu desprezo africanos.,hateful,african
29,portuguese-29,derog_neg_emote_h,Eu desprezo asiáticos.,hateful,asian
30,portuguese-30,derog_neg_emote_h,Eu detesto franceses.,hateful,french
31,portuguese-31,derog_neg_emote_h,Eu detesto italianos.,hateful,italian
32,portuguese-32,derog_neg_emote_h,Eu detesto americanos.,hateful,american
33,portuguese-33,derog_neg_emote_h,Eu detesto espanhóis.,hateful,spanish
34,portuguese-34,derog_neg_emote_h,Eu detesto chineses.,hateful,chinese
35,portuguese-35,derog_neg_emote_h,Eu detesto marroquinos.,hateful,moroccan
36,portuguese-36,derog_neg_emote_h,Eu detesto tunisianos.,hateful,tunisian
37,portuguese-37,derog_neg_emote_h,Eu detesto europeus.,hateful,european
38,portuguese-38,derog_neg_emote_h,Eu detesto africanos.,hateful,african
39,portuguese-39,derog_neg_emote_h,Eu detesto asiáticos.,hateful,asian
40,portuguese-40,derog_neg_emote_h,Eu abomino totalmente franceses.,hateful,french
41,portuguese-41,derog_neg_emote_h,Eu abomino totalmente italianos.,hateful,italian
42,portuguese-42,derog_neg_emote_h,Eu abomino totalmente americanos.,hateful,american
43,portuguese-43,derog_neg_emote_h,Eu abomino totalmente espanhóis.,hateful,spanish
44,portuguese-44,derog_neg_emote_h,Eu abomino totalmente chineses.,hateful,chinese
45,portuguese-45,derog_neg_emote_h,Eu abomino totalmente marroquinos.,hateful,moroccan
46,portuguese-46,derog_neg_emote_h,Eu abomino totalmente tunisianos.,hateful,tunisian
47,portuguese-47,derog_neg_emote_h,Eu abomino totalmente europeus.,hateful,european
48,portuguese-48,derog_neg_emote_h,Eu abomino totalmente africanos.,hateful,african
49,portuguese-49,derog_neg_emote_h,Eu abomino totalmente asiáticos.,hateful,asian
50,portuguese-50,derog_neg_emote_h,Tenho aversão a todos os franceses por aqui.,hateful,french
51,portuguese-51,derog_neg_emote_h,Tenho aversão a todos os italianos por aqui.,hateful,italian
52,portuguese-52,derog_neg_emote_h,Tenho aversão a todos os americanos por aqui.,hateful,american
53,portuguese-53,derog_neg_emote_h,Tenho aversão a todos os espanhóis por aqui.,hateful,spanish
54,portuguese-54,derog_neg_emote_h,Tenho aversão a todos os chineses por aqui.,hateful,chinese
55,portuguese-55,derog_neg_emote_h,Tenho aversão a todos os marroquinos por aqui.,hateful,moroccan
56,portuguese-56,derog_neg_emote_h,Tenho aversão a todos os tunisianos por aqui.,hateful,tunisian
57,portuguese-57,derog_neg_emote_h,Tenho aversão a todos os europeus por aqui.,hateful,european
58,portuguese-58,derog_neg_emote_h,Tenho aversão a todos os africanos por aqui.,hateful,african
59,portuguese-59,derog_neg_emote_h,Tenho aversão a todos os asiáticos por aqui.,hateful,asian
60,portuguese-60,derog_neg_emote_h,Eu desdenho muito desses franceses.,hateful,french
61,portuguese-61,derog_neg_emote_h,Eu desdenho muito desses italianos.,hateful,italian
