,case_id,functionality,test_case,label_gold,target_ident
0,french-0,derog_neg_emote_h,Je déteste les français.,hateful,french
1,french-1,derog_neg_emote_h,Je déteste les italien.,hateful,italian
2,french-2,derog_neg_emote_h,Je déteste les américains.,hateful,american
3,french-3,derog_neg_emote_h,Je déteste les espagnols.,hateful,spanish
4,french-4,derog_neg_emote_h,Je déteste les chinois.,hateful,chinese
5,french-5,derog_neg_emote_h,Je déteste les marocains.,hateful,moroccan
6,french-6,derog_neg_emote_h,Je déteste les tunisiens.,hateful,tunisian
7,french-7,derog_neg_emote_h,Je déteste les européens.,hateful,european
8,french-8,derog_neg_emote_h,Je déteste les africains.,hateful,african
9,french-9,derog_neg_emote_h,Je déteste les asiatiques.,hateful,asian
10,french-10,derog_neg_emote_h,Je ne peux vraiment pas supporter les français comme vous.,hateful,french
11,french-11,derog_neg_emote_h,Je ne peux vraiment pas supporter les italien comme vous.,hateful,italian
12,french-12,derog_neg_emote_h,Je ne peux vraiment pas supporter les américains comme vous.,hateful,american
13,french-13,derog_neg_emote_h,Je ne peux vraiment pas supporter les espagnols comme vous.,hateful,spanish
14,french-14,derog_neg_emote_h,Je ne peux vraiment pas supporter les chinois comme vous.,hateful,chinese
15,french-15,derog_neg_emote_h,Je ne peux vraiment pas supporter les marocains comme vous.,hateful,moroccan
16,french-16,derog_neg_emote_h,Je ne peux vraiment pas supporter les tunisiens comme vous.,hateful,tunisian
17,french-17,derog_neg_emote_h,Je ne peux vraiment pas supporter les européens comme vous.,hateful,european
18,french-18,derog_neg_emote_h,Je ne peux vraiment pas supporter les africains comme vous.,hateful,african
19,french-19,derog_neg_emote_h,Je ne peux vraiment pas supporter les asiatiques comme vous.,hateful,asian
20,french-20,derog_neg_emote_h,Je méprise les français.,hateful,french
21,french-21,derog_neg_emote_h,Je méprise les italien.,hateful,italian
22,french-22,derog_neg_emote_h,Je méprise les américains.,hateful,american
23,french-23,derog_neg_emote_h,Je méprise les espagnols.,hateful,spanish
24,french-24,derog_neg_emote_h,Je méprise les chinois.,hateful,chinese
25,french-25,derog_neg_emote_h,Je méprise les marocains.,hateful,moroccan
26,french-26,derog_neg_emote_h,Je méprise les tunisiens.,hateful,tunisian
27,french-27,derog_neg_emote_h,Je méprise les européens.,hateful,european
28,french-28,derog_neg_emote_h,Je méprise les africains.,hateful,african
29,french-29,derog_neg_emote_h,Je méprise les asiatiques.,hateful,asian
30,french-30,derog_neg_emote_h,Je hais les français.,hateful,french
31,french-31,derog_neg_emote_h,Je hais les italien.,hateful,italian
32,french-32,derog_neg_emote_h,Je hais les américains.,hateful,american
33,french-33,derog_neg_emote_h,Je hais les espagnols.,hateful,spanish
34,french-34,derog_neg_emote_h,Je hais les chinois.,hateful,chinese
35,french-35,derog_neg_emote_h,Je hais les marocains.,hateful,moroccan
36,french-36,derog_neg_emote_h,Je hais les tunisiens.,hateful,tunisian
37,french-37,derog_neg_emote_h,Je hais les européens.,hateful,european
38,french-38,derog_neg_emote_h,Je hais les africains.,hateful,african
39,french-39,derog_neg_emote_h,Je hais les asiatiques.,hateful,asian
40,french-40,derog_neg_emote_h,J'exècre les français.,hateful,french
41,french-41,derog_neg_emote_h,J'exècre les italien.,hateful,italian
42,french-42,derog_neg_emote_h,J'exècre les américains.,hateful,american
43,french-43,derog_neg_emote_h,J'exècre les espagnols.,hateful,spanish
44,french-44,derog_neg_emote_h,J'exècre les chinois.,hateful,chinese
45,french-45,derog_neg_emote_h,J'exècre les marocains.,hateful,moroccan
46,french-46,derog_neg_emote_h,J'exècre les tunisiens.,hateful,tunisian
47,french-47,derog_neg_emote_h,J'exècre les européens.,hateful,european
48,french-48,derog_neg_emote_h,J'exècre les africains.,hateful,african
49,french-49,derog_neg_emote_h,J'exècre les asiatiques.,hateful,asian
50,french-50,derog_neg_emote_h,Je suis dégoûtée par tous les français qu'il y a ici.,hateful,french
51,french-51,derog_neg_emote_h,Je suis dégoûtée par tous les italien qu'il y a ici.,hateful,italian
52,french-52,derog_neg_emote_h,Je suis dégoûtée par tous les américains qu'il y a ici.,hateful,american
53,french-53,derog_neg_emote_h,Je suis dégoûtée par tous les espagnols qu'il y a ici.,hateful,spanish
54,french-54,derog_neg_emote_h,Je suis dégoûtée par tous les chinois qu'il y a ici.,hateful,chinese
55,french-55,derog_neg_emote_h,Je suis dégoûtée par tous les marocains qu'il y a ici.,hateful,moroccan
56,french-56,derog_neg_emote_h,Je suis dégoûtée par tous les tunisiens qu'il y a ici.,hateful,tunisian
57,french-57,derog_neg_emote_h,Je suis dégoûtée par tous les européens qu'il y a ici.,hateful,european
58,french-58,derog_neg_emote_h,Je suis dégoûtée par tous les africains qu'il y a ici.,hateful,african
59,french-59,derog_neg_emote_h,Je suis dégoûtée par tous les asiatiques qu'il y a ici.,hateful,asian
60,french-60,derog_neg_emote_h,J'ai trop de dédain pour ces français,hateful,french
61,french-61,derog_neg_emote_h,J'ai trop de dédain pour ces italien,hateful,italian
62,french-62,derog_neg_emote_h,J'ai trop de dédain pour ces américains,hateful,american
63,french-63,derog_neg_emote_h,J'ai trop de dédain pour ces espagnols,hateful,spanish
64,french-64,derog_neg_emote_h,J'ai trop de dédain pour ces chinois,hateful,chinese
65,french-65,derog_neg_emote_h,J'ai trop de dédain pour ces marocains,hateful,moroccan
66,french-66,derog_neg_emote_h,J'ai trop de dédain pour ces tunisiens,hateful,tunisian
67,french-67,derog_neg_emote_h,J'ai trop de dédain pour ces européens,hateful,european
68,french-68,derog_neg_emote_h,J'ai trop de dédain pour ces africains,hateful,african
69,french-69,derog_neg_emote_h,J'ai trop de dédain pour ces asiatiques,hateful,asian
70,french-70,derog_neg_emote_h,J'ai trop de haine pour vous autres français,hateful,french
71,french-71,derog_neg_emote_h,J'ai trop de haine pour vous autres italien,hateful,italian
72,french-72,derog_neg_emote_h,J'ai trop de haine pour vous autres américains,hateful,american
73,french-73,derog_neg_emote_h,J'ai trop de haine pour vous autres espagnols,hateful,spanish
74,french-74,derog_neg_emote_h,J'ai trop de haine pour vous autres chinois,hateful,chinese
75,french-75,derog_neg_emote_h,J'ai trop de haine pour vous autres marocains,hateful,moroccan
76,french-76,derog_neg_emote_h,J'ai trop de haine pour vous autres tunisiens,hateful,tunisian
77,french-77,derog_neg_emote_h,J'ai trop de haine pour vous autres européens,hateful,european
78,french-78,derog_neg_emote_h,J'ai trop de haine pour vous autres africains,hateful,african
79,french-79,derog_neg_emote_h,J'ai trop de haine pour vous autres asiatiques,hateful,asian
80,french-80,derog_neg_emote_h,J'en ai ras le bol d'être entouré de français comme vous.,hateful,french
81,french-81,derog_neg_emote_h,J'en ai ras le bol d'être entouré de italien comme vous.,hateful,italian
82,french-82,derog_neg_emote_h,J'en ai ras le bol d'être entouré de américains comme vous.,hateful,american
83,french-83,derog_neg_emote_h,J'en ai ras le bol d'être entouré de espagnols comme vous.,hateful,spanish
84,french-84,derog_neg_emote_h,J'en ai ras le bol d'être entouré de chinois comme vous.,hateful,chinese
85,french-85,derog_neg_emote_h,J'en ai ras le bol d'être entouré de marocains comme vous.,hateful,moroccan
86,french-86,derog_neg_emote_h,J'en ai ras le bol d'être entouré de tunisiens comme vous.,hateful,tunisian
